Team,points-per-game,average-scoring-margin,field-goals-made-per-game,field-goals-attempted-per-game,offensive-efficiency,defensive-efficiency,effective-field-goal-pct,true-shooting-percentage,three-point-pct,two-point-pct,free-throw-pct,three-pointers-made-per-game,three-pointers-attempted-per-game,offensive-rebounds-per-game,defensive-rebounds-per-game,total-rebounds-per-game,offensive-rebounding-pct,defensive-rebounding-pct,total-rebounding-percentage,blocks-per-game,steals-per-game,assists-per-game,turnovers-per-game,assist--per--turnover-ratio,win-pct-all-games,win-pct-close-games,possessions-per-game,personal-fouls-per-game,opponent-points-per-game,opponent-average-scoring-margin,opponent-shooting-pct,opponent-effective-field-goal-pct,opponent-three-point-pct,opponent-two-point-pct,opponent-free-throw-pct,opponent-true-shooting-percentage,opponent-assists-per-game,opponent-turnovers-per-game,opponent-assist--per--turnover-ratio
WI-Grn Bay,61.2,-8.4,22.0,52.9,0.924,1.051,46.5,100.5,28.0,48.9,71.1,5.1,18.2,7.2,19.4,29.6,23.8,72.6,47.7,2.8,5.0,10.5,12.9,0.811,0.138,0.0,66.3,15.6,69.7,8.4,47.0,53.0,34.7,53.6,76.8,113.3,11.9,11.8,1.015
Jackson St,61.0,-4.5,23.1,56.7,0.899,0.966,45.3,95.4,30.0,45.5,63.4,5.2,17.2,9.5,22.6,35.1,29.5,74.6,51.0,3.9,6.1,10.8,13.2,0.823,0.367,0.364,67.8,17.1,65.5,4.5,43.0,47.7,32.2,47.5,69.1,102.8,11.3,12.1,0.931
Merrimack,60.9,-4.0,22.2,53.1,0.928,0.99,48.6,102.2,33.3,47.7,67.9,7.1,21.4,6.1,19.1,28.4,20.0,65.3,43.0,3.7,8.8,11.3,11.8,0.959,0.448,0.571,65.6,16.1,64.9,4.0,43.4,49.1,33.2,48.7,71.3,105.4,13.7,14.4,0.947
Lamar,60.9,-13.3,22.7,56.9,0.881,1.073,44.5,95.1,30.2,44.1,68.5,5.3,17.4,9.2,21.6,34.0,27.6,70.6,48.4,3.0,6.0,11.0,14.5,0.76,0.0,0.0,69.1,18.6,74.1,13.3,45.3,52.9,35.5,52.7,70.8,112.5,17.1,12.0,1.426
Maine,60.7,-13.0,23.0,56.2,0.898,1.091,46.9,98.5,31.0,47.0,70.5,6.7,21.7,7.1,20.0,30.3,21.9,71.4,45.6,2.8,6.6,12.8,12.8,1.0,0.115,0.25,67.6,17.6,73.8,13.0,48.2,54.9,38.6,53.3,72.4,115.6,13.1,12.1,1.083
Delaware St,60.6,-15.2,21.5,54.2,0.832,1.042,45.0,96.9,32.2,43.4,67.4,5.7,17.8,7.6,22.1,33.9,23.8,66.9,46.6,3.8,6.6,8.9,18.2,0.489,0.0,0.0,72.8,18.4,75.8,15.2,42.9,51.1,36.1,48.6,70.6,108.7,16.4,13.7,1.202
Cal St Nrdge,60.6,-10.6,22.2,55.6,0.896,1.053,44.4,95.6,30.2,44.0,68.5,5.0,16.5,8.4,20.1,31.0,25.2,69.7,45.5,2.4,7.1,8.8,12.3,0.714,0.214,0.6,67.6,19.1,71.2,10.6,45.6,51.9,33.2,53.1,76.1,112.1,14.1,13.1,1.076
Cal Poly,60.6,-7.3,20.9,51.0,0.898,1.006,46.1,101.4,29.5,47.2,73.1,5.3,18.1,7.4,23.5,34.4,25.4,74.8,51.0,2.3,4.5,10.6,14.9,0.711,0.222,0.333,67.4,19.5,67.9,7.3,41.5,48.1,36.0,44.7,75.6,105.6,11.4,11.2,1.017
Air Force,59.0,-7.0,21.6,49.6,0.917,1.026,50.9,105.7,33.3,51.6,64.9,7.2,21.6,4.9,19.2,26.6,17.2,71.3,44.6,3.0,5.4,12.5,13.6,0.916,0.379,0.714,64.4,18.0,66.0,7.0,46.3,51.5,31.2,53.8,76.0,111.9,10.9,12.9,0.85
Evansville,58.8,-12.3,20.7,52.7,0.885,1.07,47.0,99.9,32.6,45.2,71.5,8.1,24.8,3.9,21.5,27.1,12.5,79.7,43.5,2.0,6.0,10.3,11.3,0.915,0.172,0.125,66.5,15.0,71.2,12.3,49.6,56.1,38.4,55.3,73.4,117.7,12.0,11.7,1.026
S Florida,57.5,-7.5,21.6,57.7,0.849,0.959,41.3,88.8,25.2,42.8,66.6,4.5,17.6,9.3,22.7,35.9,27.1,75.4,50.0,3.7,6.2,10.9,12.5,0.871,0.258,0.429,67.7,17.1,64.9,7.5,41.3,48.3,33.8,46.6,71.3,104.0,13.2,12.5,1.062
E Illinois,54.0,-17.9,19.3,50.4,0.798,1.062,44.1,93.8,31.7,42.1,63.1,5.8,18.4,5.6,20.0,29.0,18.3,68.2,43.9,2.7,6.3,11.2,16.0,0.702,0.071,0.333,67.7,14.6,71.9,17.9,46.4,53.8,33.8,56.3,67.5,111.2,16.4,12.1,1.357
IUPUI,51.3,-17.1,18.9,50.5,0.792,1.055,42.4,90.8,29.2,41.6,67.4,5.1,17.5,7.9,19.0,30.4,26.5,68.5,47.6,2.3,5.6,10.1,16.4,0.615,0.037,0.0,64.8,18.0,68.4,17.1,45.3,52.8,35.5,52.4,74.5,113.3,12.5,13.0,0.966
